Molecule  ID,Molecule Name,Molecular Weight,Smiles,Class,,,
1,DOXORUBICIN HYDROCHLORIDE,579.99,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,Active,,Active,3998
2,THIABENDAZOLE,201.25,c1ccc2[nH]c(-c3cscn3)nc2c1,active,,inconclusive,9012
3,TIAPROFENIC ACID,260.31,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,active,,inactive,2614
4,RIBOFLAVIN,376.37,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Active,,,
5,DAUNORUBICIN HYDROCHLORIDE,563.99,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,Active,,,
6,RESVERATROL,228.25,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,active,,,
7,SEMUSTINE,247.73,CC1CCC(NC(=O)N(CCCl)N=O)CC1,active,,,
8,TANSHINONE IIA SULFONATE,396.4,Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C.[Na+],Active,,,
9,PIPERINE,285.34,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,active,,,
10,,262.7,O=C(Nc1ccc(Cl)cc1)OCc1ccccn1,active,,,
11,,310.38,O=C(CSc1nnc2ccccn12)N1CCc2ccccc21,active,,,
12,,267.34,CCCCc1ccc(Nc2[nH]cnc3ncnc2-3)cc1,active,,,
13,,271.27,COc1ccc(O)c(C(=O)CC(=O)c2ccncc2)c1,active,,,
14,,276.25,CCOC(=O)c1nn(-c2ccc3c(c2)OCO3)cc1O,active,,,
15,,398.42,N#C/C(=C\c1ccc(OCc2ccccc2)cc1)C(=O)Nc1ccc(C(=O)O)cc1,active,,,
16,,294.31,CC(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1,active,,,
17,,419.18,Br.CC1CC(c2nc(-c3cccc(Br)c3)cs2)CCO1,active,,,
18,,279.34,Cc1c(C=O)c2cc(OCc3ccccc3)ccc2n1C,active,,,
19,,322.41,CN1CCCC1CCNc1ccc2c(=O)c3ccccc3oc2c1,active,,,
20,,337.4,Cc1cc(NC(=O)c2ccccc2)ncc1NC(=O)c1cccs1,active,,,
21,,264.35,COc1ccc2sc(NC(=O)CC(C)C)nc2c1,active,,,
22,,340.81,CN(Cc1c(F)cccc1Cl)C(=O)CNC(=O)c1cccs1,active,,,
23,,261.35,COc1ccc(CCNC(=O)c2cccs2)cc1,active,,,
24,,388.47,COc1ccc(C2=NN(c3ccccc3)C(c3ccc(OC)c(OC)c3)C2)cc1,active,,,
25,,314.39,O=c1oc2ccccc2n1CSc1nc2ccccc2s1,active,,,
26,,296.36,O=C(NC(=S)Nc1cccc2[nH]ncc12)c1ccccc1,active,,,
27,,290.43,CCc1ccc(NC(=O)C(S)=NC2CCCCC2)cc1,active,,,
28,,324.34,COc1ccc2c(c1)CCc1c(C(=O)NCc3ccco3)noc1-2,active,,,
29,,265.77,Cc1ccc(NC(=O)Cc2cccs2)cc1Cl,active,,,
30,,251.29,c1ccc(OCc2cc(-c3ccccc3)no2)cc1,active,,,
31,,322.43,CC(C)C(=O)Nc1ccc(-c2csc(-c3ccccc3)n2)cc1,active,,,
32,,313.38,COc1ccc(Nc2nc(-c3cccnc3)cs2)c(OC)c1,active,,,
33,AURINTRICARBOXYLIC ACID,422.35,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,Active,,,
34,,292.33,CC(=O)Oc1ccc(/C=C2/CCc3ccccc3C2=O)cc1,active,,,
35,,284.38,Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)s1,active,,,
36,,254.25,Cc1cccc(-c2nc3cc([N+](=O)[O-])ccc3o2)c1,active,,,
37,,338.41,COc1ccc2cc3cc(C(=O)N4CC(C)CC(C)C4)oc3nc2c1,active,,,
38,,319.83,Cl.c1ccc(-c2ccc(OCCN3CCOCC3)cc2)cc1,active,,,
39,,299.72,O=C(Nc1cnc2ccccn2c1=O)c1ccc(Cl)cc1,active,,,
40,,345.42,CCN1CCc2nc(NC(=O)c3ccc4c(c3)OCCO4)sc2C1,active,,,
41,,290.39,COc1ccc(-c2csc(NC(=O)CC(C)C)n2)cc1,active,,,
42,,229.32,Cc1cccc(NC(=O)C2C3CCCCC32)c1,active,,,
43,,271.71,Cc1ccc(-n2nnc(-c3cccnc3Cl)n2)cc1,active,,,
44,,271.4,CCC(C)c1ccc(NC(=O)C2CC3CCC2C3)cc1,active,,,
