Name,Smiles
0,COc1ccc2cc(CCC(C)=O)ccc2c1
1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
2,Cc1ccc(O)c(-n2nc3ccccc3n2)c1
3,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
4,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
5,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1
6,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
7,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
8,Cc1cc(/C=C2\SC(=S)NC2=O)c(C)n1-c1ccccc1
9,CCNC(=O)COc1ccc2ccccc2c1
10,COc1ccc2nc(SCc3cccc(C)c3)nc(C)c2c1
11,COc1ccccc1OCC(=O)Nc1nc(C)c(C)s1
12,O=C(Nc1ccc2c(c1)OCCO2)c1cccc(Cl)c1
13,O=C(c1nc2ccccc2s1)N1CCSCC1
14,Cc1cc2nc(-c3ccc(SCC(=O)Nc4ccc(S(=O)(=O)NC5CC5)cc4)nc3)[nH]c2cc1C
15,NNC(=O)c1ccc(COc2ccc3ccccc3c2)o1
16,O=C(CCc1nnc(Cc2cccc(C(F)(F)F)c2)o1)NCCc1ccccc1F
17,Cc1ccc(C(=O)C(C)OC(=O)c2ccccc2[N+](=O)[O-])cc1
18,C/N=C(\c1ccc(C)cc1)n1c(=S)nc(-c2ccc(C)cc2)n(C)c1=S
19,CCN(CC)c1ccc2cc(C(N)=O)c(=O)oc2c1
20,COc1cccc(N2CCN(C3C4CC5CC(C4)CC3C5)CC2)c1
21,CCN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)c1oc2ccc(OC)cc2c1C
22,O=C(CSc1nnc(-c2ccncc2)o1)Nc1cccc(F)c1
23,O=C(Nc1ccn(Cc2ccccc2)n1)c1ccc2c(c1)OCO2
24,COc1ccc(CNc2nc3nc(C)c(Cl)c(C)n3n2)cc1
25,Cc1csc(NC(=O)CSc2nnnn2C)n1
