ID,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Class
1,CHEMBL3109253,526.76,COC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC(=O)[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,IC50,'=',0,nM,1
2,CHEMBL314934,311.34,COc1ccc(-c2cc3c(OC)cc(OC)cc3nc2O)cc1,IC50,'=',0,nM,1
3,CHEMBL3616727,311.14,Cc1nc2cc(Br)ccc2n(CC(=O)NN)c1=O,IC50,'=',3.21E-05,nM,1
4,CHEMBL3616734,330.19,Cc1nc2cc(Br)ccc2nc1Oc1ccccc1N,IC50,'=',6.06E-05,nM,1
5,CHEMBL3616725,357.21,COc1ccc(/C=C/c2nc3cc(Br)ccc3[nH]c2=O)cc1,IC50,'=',0.000167968,nM,1
6,CHEMBL3616736,452.74,Cc1nc2cc(Br)ccc2nc1Oc1ccc(/N=C\c2ccc(Cl)cc2)cc1,IC50,'=',0.000176702,nM,1
7,CHEMBL3360736,1689.93,CCCCCCCCCCCC(=O)O[C@H]1[C@@H](O)[C@@H](C)O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@H]3[C@H]4O[C@H](COC(C)=O)[C@@H](O)[C@@H]3OC(=O)C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)CCCCCCC[C@@H](CCC)O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O4)[C@H](OC(=O)[C@@H](C)CC)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C)[C@@H](O)[C@H](OC(=O)[C@@H](C)CC)[C@H]2O)[C@@H]1O,IC50,'<',0.000378714,nM,1
8,CHEMBL3616735,330.19,Cc1nc2cc(Br)ccc2nc1Oc1ccc(N)cc1,IC50,'=',0.002453133,nM,1
9,CHEMBL2207334,860.49,C/C=C(\C)[C@H]1OC(=O)[C@@H](C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN(C)C(=O)[C@@H](Cc2ccc(Cl)cc2)N(C)C(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)/C(C)=C/C[C@H](O)[C@@H]1C,IC50,'=',0.003,nM,1
10,CHEMBL253552,991.97,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)C[C@H](O)C(=O)[O-])[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C.[Na+],IC50,'<',0.003024285,nM,1
